****************************************************************************************************Id:0****************************************************************************************************
Id:0x0f3290fe, Parent:0x3fbb6dbf, Miner: [Id:4    , Balance:70        ], Txns:1    , Time:38362.73318761423
Id:0x0c198821, Parent:0x30219e05, Miner: [Id:4    , Balance:70        ], Txns:8    , Time:42904.40207849175
Id:0x2c5a911b, Parent:0x40230bc8, Miner: [Id:4    , Balance:70        ], Txns:1    , Time:46854.281570747145
Id:0x6f91fce2, Parent:0x7685abf8, Miner: [Id:4    , Balance:70        ], Txns:2    , Time:47355.46538238879
Id:0x6e808eaf, Parent:0x54c89f41, Miner: [Id:4    , Balance:70        ], Txns:1    , Time:49199.66755919478
****************************************************************************************************Id:5****************************************************************************************************
Id:0x00000001, Parent:-0x0000001, Miner: -1, Txns:0    , Time:0
Id:0x65d80c3f, Parent:0x00000001, Miner: [Id:31   , Balance:3         ], Txns:1    , Time:884.859448458571
Id:0x7194306a, Parent:0x00000001, Miner: [Id:20   , Balance:50        ], Txns:1    , Time:1395.157075644528
Id:0x23563123, Parent:0x00000001, Miner: [Id:11   , Balance:102       ], Txns:1    , Time:1809.9166892030175
Id:0x4263baa8, Parent:0x65d80c3f, Miner: [Id:7    , Balance:96        ], Txns:1    , Time:3568.4077295071165
Id:0x5f4df43d, Parent:0x65d80c3f, Miner: [Id:9    , Balance:0         ], Txns:1    , Time:4072.46463910586
Id:0x14990166, Parent:0x65d80c3f, Miner: [Id:40   , Balance:0         ], Txns:1    , Time:4584.366722444579
Id:0x44b97697, Parent:0x4263baa8, Miner: [Id:26   , Balance:90        ], Txns:2    , Time:5465.234194388714
Id:0x3f88afbd, Parent:0x44b97697, Miner: [Id:6    , Balance:107       ], Txns:1    , Time:6602.197191094374
Id:0x56a7b7a4, Parent:0x44b97697, Miner: [Id:51   , Balance:150       ], Txns:2    , Time:6940.84108031111
Id:0x40230bc8, Parent:0x3f88afbd, Miner: [Id:16   , Balance:200       ], Txns:1    , Time:8312.531228610738
Id:0x0d1c5780, Parent:0x40230bc8, Miner: [Id:5    , Balance:150       ], Txns:2    , Time:8440.50435376466
Id:0x54c89f41, Parent:0x40230bc8, Miner: [Id:2    , Balance:100       ], Txns:2    , Time:9257.793126598888
